ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
72,5,2,5,3,4,4,4,3,5,5,4,6,6,6,6,5,4,3,4,5,4,4,7,5,2,6,4,7,3,2,5,4,7,3,1,5,4,6,5,1,2,6,2,3,2,7,4,5
73,1,3,7,7,3,1,7,1,7,7,7,7,7,2,2,2,2,1,7,3,7,7,1,7,1,7,7,3,6,7,4,6,7,7,7,7,2,7,2,3,7,7,4,7,7,3,5,5
74,5,6,5,6,5,4,4,5,4,5,6,4,5,4,6,5,5,5,5,6,6,5,6,4,5,7,5,5,6,4,5,6,4,6,6,5,5,4,5,6,5,5,5,6,6,5,6,6
75,4,7,4,5,4,6,6,6,6,4,5,3,7,3,4,2,4,4,6,7,5,4,3,3,5,7,6,6,6,7,5,7,5,7,6,7,5,4,5,4,5,6,1,7,7,5,3,4
76,6,5,5,7,7,7,7,6,6,7,6,7,7,7,7,7,7,5,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
77,5,7,6,6,4,4,6,6,5,6,4,6,7,2,3,2,3,2,6,7,6,6,4,6,5,6,5,7,5,6,5,6,3,6,6,6,5,6,6,5,6,6,5,6,6,5,6,6
78,4,4,3,2,3,3,6,4,4,4,4,3,6,3,4,2,3,3,4,5,3,2,3,5,3,5,4,3,3,4,4,4,3,3,3,5,4,4,1,4,4,5,5,3,3,3,4,4
79,7,7,7,5,2,5,7,7,7,5,5,4,7,3,7,5,4,5,7,7,5,1,5,7,7,7,7,7,7,7,7,5,3,3,7,7,3,5,7,3,7,7,3,7,7,5,3,5
80,7,7,7,7,5,7,7,7,7,7,5,7,7,7,5,5,6,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,5,7,7,7,5,7,7,7,7,7,6,7,7,7,6,5
81,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7
82,5,5,5,5,5,4,5,7,5,6,6,6,7,5,5,3,4,3,6,7,3,6,4,4,5,7,5,5,5,5,6,4,3,6,6,6,5,5,5,6,6,7,3,7,7,7,5,5
83,6,6,6,6,5,5,5,6,5,6,5,6,6,5,5,5,5,5,6,6,5,6,5,6,6,5,6,5,5,5,6,5,6,5,5,6,5,5,5,5,6,6,6,6,6,5,5,5
84,7,7,7,6,7,6,7,7,7,4,7,7,7,7,7,7,6,6,7,7,7,4,7,7,7,7,6,6,7,4,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7
85,7,7,6,7,7,6,7,7,7,7,6,6,7,5,6,5,4,5,7,7,6,7,5,7,7,7,6,7,6,7,7,7,3,7,7,7,7,7,7,6,7,7,3,7,7,7,6,6
86,3,3,4,3,7,3,4,7,4,4,3,6,5,4,3,5,6,5,4,5,3,6,5,6,4,7,3,3,6,3,3,5,6,6,3,6,6,7,4,3,7,7,5,7,7,7,5,6
87,5,6,5,6,6,6,6,6,5,7,5,6,7,6,5,5,5,6,7,7,6,6,6,5,6,7,6,5,5,7,5,6,6,5,7,6,6,7,7,5,7,7,6,6,7,7,6,6
88,6,5,4,6,4,4,7,7,5,5,5,6,6,3,4,3,5,4,5,7,3,4,5,6,5,6,7,5,5,7,5,7,4,7,7,7,5,6,6,4,7,7,7,7,7,4,6,3
89,5,7,6,7,4,7,6,7,5,7,7,7,7,7,3,4,4,4,7,7,7,7,7,7,5,7,6,7,7,7,7,7,3,7,7,7,7,7,7,6,7,7,7,7,7,4,6,7
90,5,5,6,4,6,4,6,5,4,5,5,5,6,6,5,4,5,5,6,6,6,5,5,7,5,6,7,5,5,6,5,6,5,5,6,6,5,5,4,5,6,5,4,6,6,6,6,6
91,5,6,6,7,4,2,5,6,5,6,3,4,7,6,1,3,2,4,6,7,6,7,1,7,3,5,5,6,6,6,4,6,3,7,7,7,7,6,4,4,7,7,2,7,7,5,6,3
92,7,7,7,3,6,3,7,7,3,6,4,2,7,6,2,2,4,5,4,7,7,5,5,7,3,7,5,3,6,7,7,7,2,7,7,7,7,7,6,7,7,7,6,7,7,7,5,7
93,4,5,3,5,2,3,3,3,4,5,4,4,7,5,1,2,2,1,6,5,4,4,1,5,4,3,6,5,4,6,1,6,1,7,4,4,3,5,7,1,6,7,6,6,4,4,5,2
94,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,4,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2
95,5,7,6,7,6,4,6,5,6,7,6,5,7,4,2,3,5,3,6,5,7,5,3,7,3,7,6,5,5,6,5,7,3,7,7,7,6,2,7,6,6,7,6,7,7,6,5,5
96,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,4,5,4,7,7,7,5,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,2,7,7,7,7,4
97,5,6,7,7,7,6,7,5,7,7,6,7,7,7,6,6,6,5,7,6,6,7,5,7,5,6,7,6,6,7,6,5,7,6,7,6,6,6,7,7,7,6,5,6,7,6,6,7
98,5,6,7,7,7,5,3,7,6,5,7,3,7,7,5,5,6,5,7,7,6,5,6,6,6,7,7,6,7,7,6,7,7,6,7,7,7,6,7,6,7,7,5,7,7,7,6,6
99,3,5,6,4,5,5,5,5,4,6,5,6,7,4,6,6,4,5,6,6,5,6,4,6,6,6,7,6,5,7,4,3,6,6,7,6,6,5,7,4,5,7,7,6,7,3,6,3
