ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
147,2,1,3,7,5,5,6,6,1,1,1,2,1,1,6,1,2,5,6,6,2,6,6,3,6,3,5,5,6,6,6,6,7,3,7,7,7,6,6,5
148,6,6,6,5,2,4,1,2,1,2,3,1,3,1,1,4,1,6,6,2,6,6,5,1,7,6,7,7,7,7,6,6,6,6,7,7,5,6,7,7
149,6,6,6,6,6,6,3,3,1,4,2,3,2,2,1,2,3,5,7,4,4,7,4,2,6,6,6,6,5,5,6,6,7,7,7,7,6,6,5,7
150,5,6,5,6,6,6,6,6,1,6,2,3,4,4,2,7,6,6,7,7,7,7,6,6,7,7,6,7,7,7,7,7,7,6,7,7,6,7,7,7
151,5,5,6,7,6,7,6,3,2,6,4,3,5,2,2,4,4,7,7,7,7,6,7,5,7,6,7,7,7,7,7,7,6,6,7,7,5,7,7,7
152,6,2,7,7,2,5,2,2,1,4,1,2,2,2,1,2,2,4,6,3,7,2,2,2,2,2,4,1,6,2,4,2,3,2,6,5,4,4,3,5
153,5,6,7,7,6,7,6,7,1,2,2,3,2,1,1,5,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
154,6,1,5,3,5,5,5,1,1,2,3,2,5,1,1,3,5,5,4,1,5,5,2,1,5,3,3,5,6,5,6,5,6,5,5,1,5,7,5,3
155,4,4,4,5,2,5,2,3,1,2,2,1,2,1,2,3,4,3,5,1,5,1,5,4,6,4,6,6,5,7,4,3,5,4,5,5,1,4,7,6
156,6,4,6,5,5,6,3,5,2,4,2,2,2,2,5,2,4,4,6,5,6,4,6,6,6,6,6,5,6,6,4,6,6,6,6,6,6,6,6,5
157,6,3,5,2,6,6,5,6,2,3,2,2,1,2,1,5,3,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,7,2,6,6,6,6,6,6
158,7,6,7,7,7,6,2,5,1,2,1,3,1,1,2,2,2,4,6,7,6,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
159,6,3,7,2,7,6,5,2,1,1,1,1,1,1,1,4,2,2,7,6,7,2,6,1,7,4,7,7,1,7,7,7,7,7,7,7,7,7,7,5
160,3,2,2,2,7,7,6,1,1,2,1,1,1,1,1,1,7,6,1,7,3,6,7,1,7,6,7,7,7,7,7,7,6,7,1,7,4,7,7,5
161,6,6,6,6,6,5,4,6,2,4,3,3,5,1,1,5,5,6,6,6,6,6,5,6,7,5,5,5,6,5,6,6,6,6,6,7,5,6,6,5
162,5,5,7,7,7,6,6,7,6,2,5,5,5,5,2,5,2,7,6,3,7,6,6,5,6,6,5,3,6,7,5,7,7,7,7,7,5,6,7,7
163,4,4,6,1,3,5,2,5,2,5,1,3,1,2,1,2,2,5,4,6,4,5,5,2,3,5,2,3,3,6,3,4,5,7,7,6,6,1,5,4
164,7,6,6,6,6,6,5,6,2,2,3,2,3,1,1,5,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7
165,5,4,6,6,5,5,4,4,3,2,6,5,5,2,3,5,2,6,6,5,5,5,5,7,5,7,5,4,6,5,5,4,5,6,6,6,6,6,5,5
166,5,5,6,5,3,5,5,5,4,3,4,5,4,4,4,5,5,5,5,4,6,5,6,5,5,5,5,5,5,6,5,5,6,5,6,5,5,6,5,5
